s,L,o_s,o_r,g,G
4257,1.470980000000000e-04,4.299266666666675e-05,4.223188888888887e-05,1.300337103673227e-04,1.218696520684701e-10
4289,1.470980000000000e-04,4.302666666666669e-05,4.167166666666667e-05,1.300337103673227e-04,1.218696520684701e-10
4321,1.470980000000000e-04,4.309611111111112e-05,4.207077777777775e-05,1.300337103673227e-04,1.218696520684701e-10
4353,1.470980000000000e-04,4.291233333333337e-05,4.252899999999999e-05,1.300337103673227e-04,1.218696520684701e-10
4385,1.470980000000000e-04,4.284811111111112e-05,4.165466666666666e-05,1.300337103673227e-04,1.218696520684701e-10
4417,1.470980000000000e-04,4.287188888888893e-05,4.194755555555562e-05,1.300337103673227e-04,1.218696520684701e-10
4449,1.470980000000000e-04,4.281933333333324e-05,4.195888888888884e-05,1.300337103673227e-04,1.218696520684701e-10
4481,1.470980000000000e-04,4.249655555555559e-05,4.199222222222227e-05,1.300337103673227e-04,1.218696520684701e-10
4513,1.470980000000000e-04,4.263255555555561e-05,4.196999999999995e-05,1.300337103673227e-04,1.218696520684701e-10
4545,1.470980000000000e-04,4.248588888888890e-05,4.194455555555556e-05,1.300337103673227e-04,1.218696520684701e-10
4577,1.470980000000000e-04,4.247288888888887e-05,4.184499999999997e-05,1.300337103673227e-04,1.218696520684701e-10
4609,1.470980000000000e-04,4.262622222222220e-05,4.197922222222224e-05,1.300337103673227e-04,1.218696520684701e-10
4641,1.470980000000000e-04,4.282644444444441e-05,4.184600000000001e-05,1.300337103673227e-04,1.218696520684701e-10
4673,1.470980000000000e-04,4.248688888888890e-05,4.181955555555558e-05,1.300337103673227e-04,1.218696520684701e-10
4705,1.470980000000000e-04,4.254755555555563e-05,4.174811111111111e-05,1.300337103673227e-04,1.218696520684701e-10
4737,1.470980000000000e-04,4.229511111111106e-05,4.237877777777774e-05,1.300337103673227e-04,1.218696520684701e-10
4769,1.470980000000000e-04,4.271400000000008e-05,4.180855555555556e-05,1.300337103673227e-04,1.218696520684701e-10
4801,1.470980000000000e-04,4.247777777777772e-05,4.191611111111105e-05,1.300337103673227e-04,1.218696520684701e-10
4833,1.470980000000000e-04,4.259055555555559e-05,4.176377777777782e-05,1.300337103673227e-04,1.218696520684701e-10
4865,1.470980000000000e-04,4.314811111111110e-05,4.184466666666670e-05,1.300337103673227e-04,1.218696520684701e-10
4897,1.470980000000000e-04,4.312411111111105e-05,4.193588888888889e-05,1.300337103673227e-04,1.218696520684701e-10
4929,1.470980000000000e-04,4.328466666666664e-05,4.162566666666671e-05,1.300337103673227e-04,1.218696520684701e-10
4961,1.470980000000000e-04,4.286711111111110e-05,4.207377777777782e-05,1.300337103673227e-04,1.218696520684701e-10
4993,1.470980000000000e-04,4.294077777777779e-05,4.188711111111110e-05,1.300337103673227e-04,1.218696520684701e-10
5025,1.470980000000000e-04,4.268566666666662e-05,4.173866666666669e-05,1.300337103673227e-04,1.218696520684701e-10
5057,1.470980000000000e-04,4.376633333333335e-05,4.142122222222223e-05,1.300337103673227e-04,1.218696520684701e-10
5089,1.470980000000000e-04,4.278744444444439e-05,4.195077777777774e-05,1.300337103673227e-04,1.218696520684701e-10
5121,1.470980000000000e-04,4.225622222222220e-05,4.179988888888889e-05,1.300337103673227e-04,1.218696520684701e-10
5153,1.470980000000000e-04,4.208544444444448e-05,4.198599999999998e-05,1.300337103673227e-04,1.218696520684701e-10
5185,1.470980000000000e-04,4.226355555555555e-05,4.205344444444448e-05,1.300337103673227e-04,1.218696520684701e-10
5217,1.470980000000000e-04,4.211666666666666e-05,4.190777777777777e-05,1.300337103673227e-04,1.218696520684701e-10
5249,1.470980000000000e-04,4.232622222222215e-05,4.179222222222220e-05,1.300337103673227e-04,1.218696520684701e-10
5281,1.470980000000000e-04,4.197000000000001e-05,4.193555555555556e-05,1.300337103673227e-04,1.218696520684701e-10
5313,1.470980000000000e-04,4.250566666666670e-05,4.169222222222225e-05,1.300337103673227e-04,1.218696520684701e-10
5345,1.470980000000000e-04,4.236866666666667e-05,4.191966666666661e-05,1.300337103673227e-04,1.218696520684701e-10
5377,1.470980000000000e-04,4.264800000000000e-05,4.173677777777776e-05,1.300337103673227e-04,1.218696520684701e-10
5409,1.470980000000000e-04,4.249933333333335e-05,4.201988888888893e-05,1.300337103673227e-04,1.218696520684701e-10
5441,1.470980000000000e-04,4.266211111111105e-05,4.182111111111112e-05,1.300337103673227e-04,1.218696520684701e-10
5473,1.470980000000000e-04,4.247855555555548e-05,4.164488888888892e-05,1.300337103673227e-04,1.218696520684701e-10
5505,1.470980000000000e-04,4.285222222222222e-05,4.169633333333332e-05,1.300337103673227e-04,1.218696520684701e-10
5537,1.470980000000000e-04,4.250700000000003e-05,4.186633333333335e-05,1.300337103673227e-04,1.218696520684701e-10
5569,1.470980000000000e-04,4.293066666666661e-05,4.178088888888886e-05,1.300337103673227e-04,1.218696520684701e-10
5601,1.470980000000000e-04,4.280966666666668e-05,4.150977777777775e-05,1.300337103673227e-04,1.218696520684701e-10
5633,1.470980000000000e-04,4.274622222222219e-05,4.120766666666668e-05,1.300337103673227e-04,1.218696520684701e-10
5665,1.470980000000000e-04,4.264544444444442e-05,4.141688888888887e-05,1.300337103673227e-04,1.218696520684701e-10
5697,1.470980000000000e-04,4.237777777777777e-05,4.147944444444444e-05,1.300337103673227e-04,1.218696520684701e-10
5729,1.470980000000000e-04,4.128444444444442e-05,4.171511111111111e-05,1.300337103673227e-04,1.218696520684701e-10
5761,1.470980000000000e-04,4.321766666666663e-05,4.204566666666664e-05,1.300337103673227e-04,1.218696520684701e-10
5793,1.470980000000000e-04,4.315666666666663e-05,4.192155555555549e-05,1.300337103673227e-04,1.218696520684701e-10
5825,1.470980000000000e-04,4.356144444444446e-05,4.169622222222223e-05,1.300337103673227e-04,1.218696520684701e-10
5857,1.470980000000000e-04,4.224400000000000e-05,4.234944444444446e-05,1.300337103673227e-04,1.218696520684701e-10
5889,1.470980000000000e-04,4.241155555555554e-05,4.208899999999999e-05,1.300337103673227e-04,1.218696520684701e-10
5921,1.470980000000000e-04,4.247333333333329e-05,4.192300000000001e-05,1.300337103673227e-04,1.218696520684701e-10
5953,1.470980000000000e-04,4.256255555555560e-05,4.163977777777775e-05,1.300337103673227e-04,1.218696520684701e-10
5985,1.470980000000000e-04,4.261988888888892e-05,4.158388888888890e-05,1.300337103673227e-04,1.218696520684701e-10
6017,1.470980000000000e-04,4.250188888888893e-05,4.227033333333335e-05,1.300337103673227e-04,1.218696520684701e-10
