s,L,o_s,o_r,g,G
6433,1.470980000000000e-05,4.313433333333339e-06,4.192400000000004e-06,1.300337103673227e-05,1.218696520684701e-11
6465,1.470980000000000e-05,4.342122222222225e-06,4.160944444444443e-06,1.300337103673227e-05,1.218696520684701e-11
6497,1.470980000000000e-05,4.255277777777775e-06,4.173833333333331e-06,1.300337103673227e-05,1.218696520684701e-11
6529,1.470980000000000e-05,4.278666666666670e-06,4.176122222222229e-06,1.300337103673227e-05,1.218696520684701e-11
6561,1.470980000000000e-05,4.307322222222216e-06,4.201544444444441e-06,1.300337103673227e-05,1.218696520684701e-11
6593,1.470980000000000e-05,4.283944444444444e-06,4.213322222222230e-06,1.300337103673227e-05,1.218696520684701e-11
6625,1.470980000000000e-05,4.298855555555551e-06,4.153444444444440e-06,1.300337103673227e-05,1.218696520684701e-11
6657,1.470980000000000e-05,4.286900000000001e-06,4.150844444444445e-06,1.300337103673227e-05,1.218696520684701e-11
6689,1.470980000000000e-05,4.264511111111115e-06,4.147655555555553e-06,1.300337103673227e-05,1.218696520684701e-11
6721,1.470980000000000e-05,4.298377777777775e-06,4.181377777777776e-06,1.300337103673227e-05,1.218696520684701e-11
6753,1.470980000000000e-05,4.296200000000001e-06,4.164566666666666e-06,1.300337103673227e-05,1.218696520684701e-11
6785,1.470980000000000e-05,4.289488888888891e-06,4.177433333333335e-06,1.300337103673227e-05,1.218696520684701e-11
6817,1.470980000000000e-05,4.314522222222219e-06,4.159211111111110e-06,1.300337103673227e-05,1.218696520684701e-11
6849,1.470980000000000e-05,4.285455555555549e-06,4.191388888888885e-06,1.300337103673227e-05,1.218696520684701e-11
6881,1.470980000000000e-05,4.323822222222225e-06,4.182611111111114e-06,1.300337103673227e-05,1.218696520684701e-11
6913,1.470980000000000e-05,4.290211111111111e-06,4.181477777777779e-06,1.300337103673227e-05,1.218696520684701e-11
6945,1.470980000000000e-05,4.297499999999997e-06,4.204044444444450e-06,1.300337103673227e-05,1.218696520684701e-11
6977,1.470980000000000e-05,4.357133333333333e-06,4.162277777777780e-06,1.300337103673227e-05,1.218696520684701e-11
7009,1.470980000000000e-05,4.313511111111114e-06,4.215811111111112e-06,1.300337103673227e-05,1.218696520684701e-11
7041,1.470980000000000e-05,4.373000000000000e-06,4.170566666666670e-06,1.300337103673227e-05,1.218696520684701e-11
7073,1.470980000000000e-05,4.313122222222222e-06,4.175866666666665e-06,1.300337103673227e-05,1.218696520684701e-11
7105,1.470980000000000e-05,4.340288888888887e-06,4.159833333333339e-06,1.300337103673227e-05,1.218696520684701e-11
7137,1.470980000000000e-05,4.280066666666666e-06,4.201255555555556e-06,1.300337103673227e-05,1.218696520684701e-11
7169,1.470980000000000e-05,4.339744444444444e-06,4.171677777777775e-06,1.300337103673227e-05,1.218696520684701e-11
7201,1.470980000000000e-05,4.321455555555560e-06,4.200722222222221e-06,1.300337103673227e-05,1.218696520684701e-11
7233,1.470980000000000e-05,4.271555555555559e-06,4.156577777777776e-06,1.300337103673227e-05,1.218696520684701e-11
7265,1.470980000000000e-05,4.327200000000002e-06,4.238811111111112e-06,1.300337103673227e-05,1.218696520684701e-11
7297,1.470980000000000e-05,4.285633333333332e-06,4.171733333333331e-06,1.300337103673227e-05,1.218696520684701e-11
7329,1.470980000000000e-05,4.299300000000001e-06,4.182088888888889e-06,1.300337103673227e-05,1.218696520684701e-11
7361,1.470980000000000e-05,4.316888888888884e-06,4.164766666666668e-06,1.300337103673227e-05,1.218696520684701e-11
7393,1.470980000000000e-05,4.274777777777777e-06,4.201222222222217e-06,1.300337103673227e-05,1.218696520684701e-11
7425,1.470980000000000e-05,4.297144444444439e-06,4.176144444444447e-06,1.300337103673227e-05,1.218696520684701e-11
7457,1.470980000000000e-05,4.327222222222226e-06,4.187677777777779e-06,1.300337103673227e-05,1.218696520684701e-11
7489,1.470980000000000e-05,4.297833333333338e-06,4.191566666666670e-06,1.300337103673227e-05,1.218696520684701e-11
7521,1.470980000000000e-05,4.192977777777774e-06,4.228300000000001e-06,1.300337103673227e-05,1.218696520684701e-11
7553,1.470980000000000e-05,4.262244444444444e-06,4.159777777777777e-06,1.300337103673227e-05,1.218696520684701e-11
7585,1.470980000000000e-05,4.289677777777783e-06,4.179055555555563e-06,1.300337103673227e-05,1.218696520684701e-11
7617,1.470980000000000e-05,4.303100000000003e-06,4.211977777777779e-06,1.300337103673227e-05,1.218696520684701e-11
7649,1.470980000000000e-05,4.322922222222223e-06,4.191488888888890e-06,1.300337103673227e-05,1.218696520684701e-11
