s,L,o_s,o_r,g,G
516097,1.539810000000000e-05,4.460855555555554e-06,4.433956673333333e-02,1.404071482903282e-05,1.207667585433873e-11
520193,1.539810000000000e-05,4.674011111111125e-06,4.443507201111111e-02,1.404071482903282e-05,1.207667585433873e-11
524289,1.539810000000000e-05,4.526844444444455e-06,4.453025051111111e-02,1.404071482903282e-05,1.207667585433873e-11
528385,1.539810000000000e-05,4.897333333333325e-06,4.463236213333333e-02,1.404071482903282e-05,1.207667585433873e-11
532481,1.539810000000000e-05,4.530611111111109e-06,4.473541617777778e-02,1.404071482903282e-05,1.207667585433873e-11
536577,1.539810000000000e-05,5.053388888888899e-06,4.483855015555556e-02,1.404071482903282e-05,1.207667585433873e-11
540673,1.539810000000000e-05,4.600777777777774e-06,4.494084750000001e-02,1.404071482903282e-05,1.207667585433873e-11
544769,1.539810000000000e-05,4.492777777777781e-06,4.504364618888889e-02,1.404071482903282e-05,1.207667585433873e-11
548865,1.539810000000000e-05,4.427044444444439e-06,4.514628524444445e-02,1.404071482903282e-05,1.207667585433873e-11
552961,1.539810000000000e-05,4.557588888888869e-06,4.524964556666667e-02,1.404071482903282e-05,1.207667585433873e-11
557057,1.539810000000000e-05,4.709255555555557e-06,4.535120405555555e-02,1.404071482903282e-05,1.207667585433873e-11
561153,1.539810000000000e-05,4.029299999999992e-06,4.545319402222223e-02,1.404071482903282e-05,1.207667585433873e-11
565249,1.539810000000000e-05,4.518244444444436e-06,4.555688487777778e-02,1.404071482903282e-05,1.207667585433873e-11
569345,1.539810000000000e-05,5.181566666666651e-06,4.566117553333333e-02,1.404071482903282e-05,1.207667585433873e-11
573441,1.539810000000000e-05,4.432588888888880e-06,4.576345186666667e-02,1.404071482903282e-05,1.207667585433873e-11
577537,1.539810000000000e-05,4.845299999999992e-06,4.586643474444444e-02,1.404071482903282e-05,1.207667585433873e-11
581633,1.539810000000000e-05,4.559411111111118e-06,4.597042416666666e-02,1.404071482903282e-05,1.207667585433873e-11
585729,1.539810000000000e-05,4.848644444444455e-06,4.607388155555556e-02,1.404071482903282e-05,1.207667585433873e-11
589825,1.539810000000000e-05,4.608355555555559e-06,4.617764770000000e-02,1.404071482903282e-05,1.207667585433873e-11
593921,1.539810000000000e-05,4.971855555555563e-06,4.628149403333334e-02,1.404071482903282e-05,1.207667585433873e-11
598017,1.539810000000000e-05,4.720833333333337e-06,4.638542856666667e-02,1.404071482903282e-05,1.207667585433873e-11
602113,1.539810000000000e-05,4.775244444444457e-06,4.648895614444445e-02,1.404071482903282e-05,1.207667585433873e-11
606209,1.539810000000000e-05,4.655933333333324e-06,4.659283026666666e-02,1.404071482903282e-05,1.207667585433873e-11
610305,1.539810000000000e-05,4.532566666666664e-06,4.669720646666667e-02,1.404071482903282e-05,1.207667585433873e-11
614401,1.539810000000000e-05,4.496500000000014e-06,4.680139013333333e-02,1.404071482903282e-05,1.207667585433873e-11
618497,1.539810000000000e-05,4.727566666666686e-06,4.690466226666666e-02,1.404071482903282e-05,1.207667585433873e-11
622593,1.539810000000000e-05,4.589244444444456e-06,4.700810295555555e-02,1.404071482903282e-05,1.207667585433873e-11
626689,1.539810000000000e-05,4.655077777777791e-06,4.711179986666666e-02,1.404071482903282e-05,1.207667585433873e-11
630785,1.539810000000000e-05,5.135111111111113e-06,4.722067076666667e-02,1.404071482903282e-05,1.207667585433873e-11
634881,1.539810000000000e-05,4.673822222222234e-06,4.732417353333333e-02,1.404071482903282e-05,1.207667585433873e-11
638977,1.539810000000000e-05,4.748766666666664e-06,4.742878468888889e-02,1.404071482903282e-05,1.207667585433873e-11
643073,1.539810000000000e-05,4.587388888888880e-06,4.753201723333333e-02,1.404071482903282e-05,1.207667585433873e-11
647169,1.539810000000000e-05,4.923744444444451e-06,4.763557816666666e-02,1.404071482903282e-05,1.207667585433873e-11
651265,1.539810000000000e-05,4.708922222222236e-06,4.773920654444445e-02,1.404071482903282e-05,1.207667585433873e-11
655361,1.539810000000000e-05,4.772844444444438e-06,4.784396080000000e-02,1.404071482903282e-05,1.207667585433873e-11
659457,1.539810000000000e-05,4.568400000000002e-06,4.794811041111111e-02,1.404071482903282e-05,1.207667585433873e-11
663553,1.539810000000000e-05,5.124777777777757e-06,4.805183956666667e-02,1.404071482903282e-05,1.207667585433873e-11
667649,1.539810000000000e-05,4.763166666666655e-06,4.815598758888889e-02,1.404071482903282e-05,1.207667585433873e-11
671745,1.539810000000000e-05,5.183355555555573e-06,4.826046404444444e-02,1.404071482903282e-05,1.207667585433873e-11
675841,1.539810000000000e-05,4.748166666666663e-06,4.836549235555556e-02,1.404071482903282e-05,1.207667585433873e-11
679937,1.539810000000000e-05,5.199944444444433e-06,4.847018596666666e-02,1.404071482903282e-05,1.207667585433873e-11
684033,1.539810000000000e-05,4.601522222222218e-06,4.857404718888889e-02,1.404071482903282e-05,1.207667585433873e-11
688129,1.539810000000000e-05,5.255555555555555e-06,4.867924686666666e-02,1.404071482903282e-05,1.207667585433873e-11
692225,1.539810000000000e-05,4.683477777777772e-06,4.878262702222222e-02,1.404071482903282e-05,1.207667585433873e-11
696321,1.539810000000000e-05,4.885200000000019e-06,4.888690903333334e-02,1.404071482903282e-05,1.207667585433873e-11
700417,1.539810000000000e-05,4.622666666666666e-06,4.899316434444444e-02,1.404071482903282e-05,1.207667585433873e-11
704513,1.539810000000000e-05,4.899911111111126e-06,4.909752827777777e-02,1.404071482903282e-05,1.207667585433873e-11
708609,1.539810000000000e-05,4.751677777777786e-06,4.920084543333333e-02,1.404071482903282e-05,1.207667585433873e-11
712705,1.539810000000000e-05,5.059999999999996e-06,4.930497297777778e-02,1.404071482903282e-05,1.207667585433873e-11
716801,1.539810000000000e-05,4.639888888888880e-06,4.940865624444445e-02,1.404071482903282e-05,1.207667585433873e-11
720897,1.539810000000000e-05,5.298199999999989e-06,4.951308930000000e-02,1.404071482903282e-05,1.207667585433873e-11
724993,1.539810000000000e-05,4.535466666666664e-06,4.961856480000000e-02,1.404071482903282e-05,1.207667585433873e-11
729089,1.539810000000000e-05,4.655000000000002e-06,4.972567125555556e-02,1.404071482903282e-05,1.207667585433873e-11
733185,1.539810000000000e-05,4.876400000000013e-06,4.983134559999999e-02,1.404071482903282e-05,1.207667585433873e-11
737281,1.539810000000000e-05,4.497155555555559e-06,4.993621774444445e-02,1.404071482903282e-05,1.207667585433873e-11
741377,1.539810000000000e-05,5.284588888888864e-06,5.004339752222222e-02,1.404071482903282e-05,1.207667585433873e-11
745473,1.539810000000000e-05,4.556411111111098e-06,5.014795082222222e-02,1.404071482903282e-05,1.207667585433873e-11
749569,1.539810000000000e-05,5.170522222222218e-06,5.025399680000000e-02,1.404071482903282e-05,1.207667585433873e-11
753665,1.539810000000000e-05,4.960822222222226e-06,5.035902625555556e-02,1.404071482903282e-05,1.207667585433873e-11
757761,1.539810000000000e-05,5.310400000000003e-06,5.046521004444444e-02,1.404071482903282e-05,1.207667585433873e-11
761857,1.539810000000000e-05,4.660100000000006e-06,5.057040323333333e-02,1.404071482903282e-05,1.207667585433873e-11
765953,1.539810000000000e-05,4.738699999999989e-06,5.067784418888889e-02,1.404071482903282e-05,1.207667585433873e-11
770049,1.539810000000000e-05,5.235866666666682e-06,5.078420773333334e-02,1.404071482903282e-05,1.207667585433873e-11
774145,1.539810000000000e-05,4.759311111111116e-06,5.089098477777778e-02,1.404071482903282e-05,1.207667585433873e-11
778241,1.539810000000000e-05,4.959388888888897e-06,5.099799032222221e-02,1.404071482903282e-05,1.207667585433873e-11
782337,1.539810000000000e-05,4.508800000000020e-06,5.110479018888889e-02,1.404071482903282e-05,1.207667585433873e-11
786433,1.539810000000000e-05,5.173955555555566e-06,5.121185085555555e-02,1.404071482903282e-05,1.207667585433873e-11
790529,1.539810000000000e-05,4.583466666666661e-06,5.132750542222222e-02,1.404071482903282e-05,1.207667585433873e-11
794625,1.539810000000000e-05,5.055666666666680e-06,5.144213417777778e-02,1.404071482903282e-05,1.207667585433873e-11
798721,1.539810000000000e-05,4.624477777777765e-06,5.155886456666667e-02,1.404071482903282e-05,1.207667585433873e-11
